id,device_id,ts,activity,pp1,pp2,pp3,,action,power,power2,running
78844,3433,2024-05-17T20:02:10,running,,,,,,,111,true
78846,3433,2024-05-17T20:02:25,running,,,,,,,117,true
78848,3433,2024-05-17T20:02:40,running,,,,,,,109,true
78850,3433,2024-05-17T20:02:56,running,,,,,,,110,true
78852,3433,2024-05-17T20:03:11,running,,,,,,,119,true
78854,3433,2024-05-17T20:03:26,running,,,,,,,110,true
78856,3433,2024-05-17T20:03:41,running,,,,,,,118,true
78858,3433,2024-05-17T20:03:57,running,,,,,,,119,true
78860,3433,2024-05-17T20:04:12,running,,,,,,,116,true
78862,3433,2024-05-17T20:04:27,running,,,,,,,125,true
78864,3433,2024-05-17T20:04:43,running,,,,,,,119,true
78866,3433,2024-05-17T20:04:58,running,,,,,,,114,true
78868,3433,2024-05-17T20:05:13,running,,,,,,,103,true
78870,3433,2024-05-17T20:05:28,running,,,,,,,112,true
78872,3433,2024-05-17T20:05:44,running,,,,,,,113,true
78874,3433,2024-05-17T20:05:59,running,,,,,,,101,true
78876,3433,2024-05-17T20:06:14,running,,,,,,,118,true
78878,3433,2024-05-17T20:06:30,running,,,,,,,92,true
78880,3433,2024-05-17T20:06:45,running,,,,,,,85,true
78882,3433,2024-05-17T20:07:00,running,,,,,,,198,true
78884,3433,2024-05-17T20:07:15,running,,,,,,,223,true
78886,3433,2024-05-17T20:07:31,running,,,,,,,93,true
78888,3433,2024-05-17T20:07:46,running,,,,,,,92,true
78890,3433,2024-05-17T20:08:01,running,,,,,,,82,true
78892,3433,2024-05-17T20:08:16,running,,,,,,,155,true
78894,3433,2024-05-17T20:08:32,running,,,,,,,108,true
78896,3433,2024-05-17T20:08:47,running,,,,,,,101,true
78898,3433,2024-05-17T20:09:02,running,,,,,,,101,true
78900,3433,2024-05-17T20:09:18,running,,,,,,,2075,true
78902,3433,2024-05-17T20:09:33,running,,,,,,,2072,true
78904,3433,2024-05-17T20:09:48,running,,,,,,,2102,true
78906,3433,2024-05-17T20:10:03,running,,,,,,,2065,true
78908,3433,2024-05-17T20:10:19,running,,,,,,,2072,true
78910,3433,2024-05-17T20:10:34,running,,,,,,,2073,true
78912,3433,2024-05-17T20:10:49,running,,,,,,,2049,true
78914,3433,2024-05-17T20:11:04,running,,,,,,,2055,true
78916,3433,2024-05-17T20:11:20,running,,,,,,,2047,true
78918,3433,2024-05-17T20:11:35,running,,,,,,,2043,true
